duration,event_id,memory_spike_kb,record,source,time,timestamp,type
,,,"{'initializationType': 'on-demand', 'phase': 'init', 'runtimeVersion': 'python:3.11.v83', 'runtimeVersionArn': 'arn:aws:lambda:eu-west-2::runtime:26afe95b80f712a3037463ff3166f54bef5aa010c870d7110cc2ce1e1233a3d5', 'functionName': 'scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'functionVersion': '$LATEST', 'instanceId': '2025/08/04/[$LATEST]fbe29d7c767743699f0a0adb76076b28', 'instanceMaxMemory': 134217728}",,2025-08-04T17:35:58.860Z,,platform.initStart
,,,"{'requestId': '8120b085-e75b-46e3-bf8e-6370262ee77c', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '1895ef632c0b7e7e', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef7e-3bcaa3300e22596a0063a161;Parent=24f1f11f49e90eb5;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:35:58.945Z,,platform.start
,,,"{'requestId': '8120b085-e75b-46e3-bf8e-6370262ee77c', 'metrics': {'durationMs': 1.552, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34, 'initDurationMs': 81.226}, 'tracing': {'spanId': '1895ef632c0b7e7e', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef7e-3bcaa3300e22596a0063a161;Parent=24f1f11f49e90eb5;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:35:58.947Z,,platform.report
,,,"{'requestId': 'a8e97354-a69d-43c2-9942-3a5660234e3e', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '5cd3cfea7aeab16a', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef82-7c1b12515d6fe5af2480394c;Parent=35185a8901166f26;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:02.485Z,,platform.start
,,,"{'requestId': 'a8e97354-a69d-43c2-9942-3a5660234e3e', 'metrics': {'durationMs': 1.384, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '5cd3cfea7aeab16a', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef82-7c1b12515d6fe5af2480394c;Parent=35185a8901166f26;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:02.487Z,,platform.report
,,,"{'requestId': 'bb509771-886c-489b-b808-1458e62c2433', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'e6fda7440d51c8ef', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef83-4f578cc97bb120614a8c29d1;Parent=39b613a6b4da4cdd;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:03.326Z,,platform.start
,,,"{'requestId': 'bb509771-886c-489b-b808-1458e62c2433', 'metrics': {'durationMs': 1.119, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'e6fda7440d51c8ef', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef83-4f578cc97bb120614a8c29d1;Parent=39b613a6b4da4cdd;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:03.328Z,,platform.report
,,,"{'requestId': '0fe99fb4-f662-4304-ad6c-18eb4533092c', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '948e054d7ea0df2b', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef84-1ca63e7c5d4e464c3f9ca4a3;Parent=2f5a15ddfc6563c5;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:04.077Z,,platform.start
,,,"{'requestId': '0fe99fb4-f662-4304-ad6c-18eb4533092c', 'metrics': {'durationMs': 1.114, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '948e054d7ea0df2b', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef84-1ca63e7c5d4e464c3f9ca4a3;Parent=2f5a15ddfc6563c5;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:04.078Z,,platform.report
,,,"{'requestId': 'be50af86-0970-40de-b334-2eb15b37310f', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'cffe58fb910c4de0', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef84-2a1cbfe564142a1a51f9eb46;Parent=6d12261137b0267e;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:04.610Z,,platform.start
